City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
261,port hedland,40,AU,1616048121,36,-20.3167,118.5667,96.8,19.57
262,adamovka,100,RU,1616048172,73,51.5223,59.9396,20.88,18.12
263,toyooka,0,JP,1616048172,62,35.5333,134.8333,51.8,9.22
264,oranjemund,3,NA,1616048173,90,-28.55,16.4333,61.18,3.96
265,carnarvon,0,AU,1616048073,66,-24.8667,113.6333,87.8,17.27
266,vyazemskiy,93,RU,1616048173,80,47.5378,134.7525,29.77,8.57
267,lyubech,100,UA,1616048174,97,51.7026,30.6569,32.41,7.99
268,sioux lookout,1,CA,1616048174,59,50.1001,-91.917,28.4,3.44
269,shizunai,28,JP,1616048174,68,42.3339,142.3669,39.02,17.96
270,simao,10,CN,1616048175,14,22.7886,100.9748,87.71,7.74
271,preili,70,LV,1616048176,87,56.2944,26.7246,27.46,7.34
272,asosa,96,ET,1616048176,67,10.0667,34.5333,67.01,5.26
273,ballina,90,AU,1616048177,73,-28.8667,153.5667,75.2,9.22
274,smiths falls,100,CA,1616048177,92,44.9001,-76.0161,35.01,5.59
275,shingu,20,JP,1616048178,59,33.7333,135.9833,60.8,9.22
276,zhezkazgan,33,KZ,1616048133,67,47.8043,67.7144,20.3,15.03
277,crowley,1,US,1616048178,55,30.2141,-92.3746,61,11.5
278,chuy,63,UY,1616048059,84,-33.6971,-53.4616,65.21,12.15
279,eureka,98,US,1616048179,68,40.8021,-124.1637,48.99,1.99
280,ribeira grande,100,PT,1616048179,83,38.5167,-28.7,60.33,20.07
281,neiafu,20,TO,1616048180,83,-18.65,-173.9833,80.6,4.61
282,ures,0,MX,1616048180,38,29.4333,-110.4,59,1.99
283,lincoln,90,US,1616047514,75,40.8,-96.667,35.6,18.41
284,labuhan,99,ID,1616048181,71,-6.8844,112.2051,85.46,7.23
285,magadan,0,RU,1616048182,72,59.5667,150.8,15.66,2.66
286,marsabit,97,KE,1616048183,70,2.3284,37.9899,70.11,15.79
287,gat,3,IL,1616048183,100,31.61,34.7642,61,9.62
288,biak,57,ID,1616048183,68,-0.9131,122.8766,84.51,1.45
289,beloha,0,MG,1616048184,48,-25.1667,45.05,82.56,8.05
290,koflach,75,AT,1616048185,86,47.0667,15.0833,35.01,2.3
291,sorland,0,NO,1616048185,74,67.667,12.6934,23,5.75
292,georgiyevka,0,KZ,1616048186,45,43.0369,74.7114,42.8,11.18
293,staraya poltavka,81,RU,1616048186,93,50.4772,46.4814,30.99,3.94
294,naze,75,JP,1616047980,88,28.3667,129.4833,71.6,3.44
295,mugur-aksy,91,RU,1616048187,50,50.35,90.5,13.3,3.94
296,tettnang,20,DE,1616048187,100,47.6667,9.6,32,4.09
